"","Eta2","P-value"
"m.m.e",0.936334980365671,3.39289623103341e-27
"o.m.m",0.842154865899391,1.80601097004913e-17
"e.i.g",0.815934431936372,7.69075444879535e-16
"q.u.e",0.808830228035243,1.93323805458715e-15
"l.s..",0.788657289587135,2.2089039294857e-14
"i.h.e",0.788566838959222,2.23192959471454e-14
"c.i.u",0.785695716441709,3.09461084319596e-14
"X..i.h",0.774135169259994,1.10331167255121e-13
"f.a.i",0.761697354067588,4.02409761247557e-13
"X..a..",0.758443325039394,5.57994710264548e-13
"d.e..",0.754578053895295,8.17850390677511e-13
"X..q.u",0.750256029529581,1.24484922753455e-12
"q.i.l",0.74640336572461,1.79874356998731e-12
"X..u.n",0.739792644300969,3.33723675793116e-12
"X..f.a",0.737593877755383,4.08387937460612e-12
"a.i.n",0.737136256481091,4.258190502676e-12
"i.e.s",0.736799769614605,4.39087444214287e-12
"e.l.s",0.725564430918959,1.19522339592661e-11
"m.m.a",0.722361017277583,1.57759341428493e-11
"s.a.r",0.7211242777449,1.75444403759984e-11
